2026-01-30 08:50:21 | INFO | fipe | Extraindo 6 -> Audi
2026-01-30 08:50:21 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '43', 'name': '100 2.8 V6'}
2026-01-30 08:50:21 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '43', 'name': '100 2.8 V6'} -> {'code': '1995-1', 'name': '1995 Gasolina'}
2026-01-30 08:50:22 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '43', 'name': '100 2.8 V6'} -> {'code': '1995-1', 'name': '1995 Gasolina'} -> 
2026-01-30 08:50:22 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '43', 'name': '100 2.8 V6'} -> {'code': '1994-1', 'name': '1994 Gasolina'}
2026-01-30 08:50:22 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '43', 'name': '100 2.8 V6'} -> {'code': '1994-1', 'name': '1994 Gasolina'} -> 
2026-01-30 08:50:22 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '43', 'name': '100 2.8 V6'} -> {'code': '1993-1', 'name': '1993 Gasolina'}
2026-01-30 08:50:23 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '43', 'name': '100 2.8 V6'} -> {'code': '1993-1', 'name': '1993 Gasolina'} -> 
2026-01-30 08:50:23 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '44', 'name': '100 2.8 V6 Avant'}
2026-01-30 08:50:23 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '44', 'name': '100 2.8 V6 Avant'} -> {'code': '1995-1', 'name': '1995 Gasolina'}
2026-01-30 08:50:24 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '44', 'name': '100 2.8 V6 Avant'} -> {'code': '1995-1', 'name': '1995 Gasolina'} -> 
2026-01-30 08:50:24 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '44', 'name': '100 2.8 V6 Avant'} -> {'code': '1994-1', 'name': '1994 Gasolina'}
2026-01-30 08:50:24 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '44', 'name': '100 2.8 V6 Avant'} -> {'code': '1994-1', 'name': '1994 Gasolina'} -> 
2026-01-30 08:50:24 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '45', 'name': '100 S-4 2.2 Avant Turbo'}
2026-01-30 08:50:24 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '45', 'name': '100 S-4 2.2 Avant Turbo'} -> {'code': '1995-1', 'name': '1995 Gasolina'}
2026-01-30 08:50:25 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '45', 'name': '100 S-4 2.2 Avant Turbo'} -> {'code': '1995-1', 'name': '1995 Gasolina'} -> 
2026-01-30 08:50:25 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '45', 'name': '100 S-4 2.2 Avant Turbo'} -> {'code': '1994-1', 'name': '1994 Gasolina'}
2026-01-30 08:50:25 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '45', 'name': '100 S-4 2.2 Avant Turbo'} -> {'code': '1994-1', 'name': '1994 Gasolina'} -> 
2026-01-30 08:50:25 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '46', 'name': '80 2.0'}
2026-01-30 08:50:25 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '46', 'name': '80 2.0'} -> {'code': '1995-1', 'name': '1995 Gasolina'}
2026-01-30 08:50:26 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '46', 'name': '80 2.0'} -> {'code': '1995-1', 'name': '1995 Gasolina'} -> 
2026-01-30 08:50:26 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '46', 'name': '80 2.0'} -> {'code': '1994-1', 'name': '1994 Gasolina'}
2026-01-30 08:50:26 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '46', 'name': '80 2.0'} -> {'code': '1994-1', 'name': '1994 Gasolina'} -> 
2026-01-30 08:50:26 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '47', 'name': '80 2.0 Avant'}
2026-01-30 08:50:26 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '47', 'name': '80 2.0 Avant'} -> {'code': '1995-1', 'name': '1995 Gasolina'}
2026-01-30 08:50:27 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '47', 'name': '80 2.0 Avant'} -> {'code': '1995-1', 'name': '1995 Gasolina'} -> 
2026-01-30 08:50:27 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '47', 'name': '80 2.0 Avant'} -> {'code': '1994-1', 'name': '1994 Gasolina'}
2026-01-30 08:50:27 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '47', 'name': '80 2.0 Avant'} -> {'code': '1994-1', 'name': '1994 Gasolina'} -> 
2026-01-30 08:50:27 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '48', 'name': '80 2.6/ 2.8'}
2026-01-30 08:50:27 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '48', 'name': '80 2.6/ 2.8'} -> {'code': '1995-1', 'name': '1995 Gasolina'}
2026-01-30 08:50:28 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '48', 'name': '80 2.6/ 2.8'} -> {'code': '1995-1', 'name': '1995 Gasolina'} -> 
2026-01-30 08:50:28 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '48', 'name': '80 2.6/ 2.8'} -> {'code': '1994-1', 'name': '1994 Gasolina'}
2026-01-30 08:50:28 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '48', 'name': '80 2.6/ 2.8'} -> {'code': '1994-1', 'name': '1994 Gasolina'} -> 
2026-01-30 08:50:28 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '49', 'name': '80 2.6/2.8 Avant'}
2026-01-30 08:50:29 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '49', 'name': '80 2.6/2.8 Avant'} -> {'code': '1996-1', 'name': '1996 Gasolina'}
2026-01-30 08:50:29 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '49', 'name': '80 2.6/2.8 Avant'} -> {'code': '1996-1', 'name': '1996 Gasolina'} -> 
2026-01-30 08:50:29 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '49', 'name': '80 2.6/2.8 Avant'} -> {'code': '1995-1', 'name': '1995 Gasolina'}
2026-01-30 08:50:30 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '49', 'name': '80 2.6/2.8 Avant'} -> {'code': '1995-1', 'name': '1995 Gasolina'} -> 
2026-01-30 08:50:30 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '49', 'name': '80 2.6/2.8 Avant'} -> {'code': '1994-1', 'name': '1994 Gasolina'}
2026-01-30 08:50:30 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '49', 'name': '80 2.6/2.8 Avant'} -> {'code': '1994-1', 'name': '1994 Gasolina'} -> 
2026-01-30 08:50:30 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'}
2026-01-30 08:50:30 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1999-1', 'name': '1999 Gasolina'}
2026-01-30 08:50:31 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1999-1', 'name': '1999 Gasolina'} -> 
2026-01-30 08:50:31 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1998-1', 'name': '1998 Gasolina'}
2026-01-30 08:50:31 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1998-1', 'name': '1998 Gasolina'} -> 
2026-01-30 08:50:31 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1997-1', 'name': '1997 Gasolina'}
2026-01-30 08:50:32 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1997-1', 'name': '1997 Gasolina'} -> 
2026-01-30 08:50:32 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1996-1', 'name': '1996 Gasolina'}
2026-01-30 08:50:32 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1996-1', 'name': '1996 Gasolina'} -> 
2026-01-30 08:50:32 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1995-1', 'name': '1995 Gasolina'}
2026-01-30 08:50:33 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1995-1', 'name': '1995 Gasolina'} -> 
2026-01-30 08:50:33 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1994-1', 'name': '1994 Gasolina'}
2026-01-30 08:50:33 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '50', 'name': '80 2.8 Cabriolet'} -> {'code': '1994-1', 'name': '1994 Gasolina'} -> 
2026-01-30 08:50:33 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '51', 'name': '80 S2 Avant'}
2026-01-30 08:50:33 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '51', 'name': '80 S2 Avant'} -> {'code': '1995-1', 'name': '1995 Gasolina'}
2026-01-30 08:50:34 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '51', 'name': '80 S2 Avant'} -> {'code': '1995-1', 'name': '1995 Gasolina'} -> 
2026-01-30 08:50:34 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '51', 'name': '80 S2 Avant'} -> {'code': '1994-1', 'name': '1994 Gasolina'}
2026-01-30 08:50:34 | ERROR | fipe | Não gravou 6 -> Audi -> {'code': '51', 'name': '80 S2 Avant'} -> {'code': '1994-1', 'name': '1994 Gasolina'} -> 
2026-01-30 08:50:34 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '5496', 'name': 'A1 1.4 TFSI 122cv S-tronic 3p'}
2026-01-30 08:50:34 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '5496', 'name': 'A1 1.4 TFSI 122cv S-tronic 3p'} -> {'code': '2014-1', 'name': '2014 Gasolina'}
2026-01-30 08:50:35 | INFO | fipe | Gravando json para 6 -> Audi -> {'code': '5496', 'name': 'A1 1.4 TFSI 122cv S-tronic 3p'} -> {'code': '2014-1', 'name': '2014 Gasolina'} -> {'TipoVeiculo': 1, 'Valor': 'R$ 68.905,00', 'Marca': 'Audi', 'Modelo': 'A1 1.4 TFSI 122cv S-tronic 3p', 'AnoModelo': 2014, 'Combustivel': 'Gasolina', 'CodigoFipe': '008153-1', 'MesReferencia': 'janeiro de 2026', 'SiglaCombustivel': 'G'}
2026-01-30 08:50:35 | INFO | fipe | Gravado
2026-01-30 08:50:35 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '5496', 'name': 'A1 1.4 TFSI 122cv S-tronic 3p'} -> {'code': '2013-1', 'name': '2013 Gasolina'}
2026-01-30 08:50:36 | INFO | fipe | Gravando json para 6 -> Audi -> {'code': '5496', 'name': 'A1 1.4 TFSI 122cv S-tronic 3p'} -> {'code': '2013-1', 'name': '2013 Gasolina'} -> {'TipoVeiculo': 1, 'Valor': 'R$ 67.224,00', 'Marca': 'Audi', 'Modelo': 'A1 1.4 TFSI 122cv S-tronic 3p', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '008153-1', 'MesReferencia': 'janeiro de 2026', 'SiglaCombustivel': 'G'}
2026-01-30 08:50:36 | INFO | fipe | Gravado
2026-01-30 08:50:37 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '5496', 'name': 'A1 1.4 TFSI 122cv S-tronic 3p'} -> {'code': '2012-1', 'name': '2012 Gasolina'}
2026-01-30 08:50:37 | INFO | fipe | Gravando json para 6 -> Audi -> {'code': '5496', 'name': 'A1 1.4 TFSI 122cv S-tronic 3p'} -> {'code': '2012-1', 'name': '2012 Gasolina'} -> {'TipoVeiculo': 1, 'Valor': 'R$ 58.879,00', 'Marca': 'Audi', 'Modelo': 'A1 1.4 TFSI 122cv S-tronic 3p', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '008153-1', 'MesReferencia': 'janeiro de 2026', 'SiglaCombustivel': 'G'}
2026-01-30 08:50:37 | INFO | fipe | Gravado
2026-01-30 08:50:38 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '5496', 'name': 'A1 1.4 TFSI 122cv S-tronic 3p'} -> {'code': '2011-1', 'name': '2011 Gasolina'}
2026-01-30 08:50:38 | INFO | fipe | Gravando json para 6 -> Audi -> {'code': '5496', 'name': 'A1 1.4 TFSI 122cv S-tronic 3p'} -> {'code': '2011-1', 'name': '2011 Gasolina'} -> {'TipoVeiculo': 1, 'Valor': 'R$ 56.124,00', 'Marca': 'Audi', 'Modelo': 'A1 1.4 TFSI 122cv S-tronic 3p', 'AnoModelo': 2011, 'Combustivel': 'Gasolina', 'CodigoFipe': '008153-1', 'MesReferencia': 'janeiro de 2026', 'SiglaCombustivel': 'G'}
2026-01-30 08:50:38 | INFO | fipe | Gravado
2026-01-30 08:50:39 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '6293', 'name': 'A1 2.0 TFSI Quattro 256cv 3p'}
2026-01-30 08:50:39 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '6293', 'name': 'A1 2.0 TFSI Quattro 256cv 3p'} -> {'code': '2013-1', 'name': '2013 Gasolina'}
2026-01-30 08:50:40 | INFO | fipe | Gravando json para 6 -> Audi -> {'code': '6293', 'name': 'A1 2.0 TFSI Quattro 256cv 3p'} -> {'code': '2013-1', 'name': '2013 Gasolina'} -> {'TipoVeiculo': 1, 'Valor': 'R$ 120.244,00', 'Marca': 'Audi', 'Modelo': 'A1 2.0 TFSI Quattro 256cv 3p', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '008177-9', 'MesReferencia': 'janeiro de 2026', 'SiglaCombustivel': 'G'}
2026-01-30 08:50:40 | INFO | fipe | Gravado
2026-01-30 08:50:40 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '6143', 'name': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic'}
2026-01-30 08:50:40 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '6143', 'name': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic'} -> {'code': '2014-1', 'name': '2014 Gasolina'}
2026-01-30 08:50:41 | INFO | fipe | Gravando json para 6 -> Audi -> {'code': '6143', 'name': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic'} -> {'code': '2014-1', 'name': '2014 Gasolina'} -> {'TipoVeiculo': 1, 'Valor': 'R$ 70.096,00', 'Marca': 'Audi', 'Modelo': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic', 'AnoModelo': 2014, 'Combustivel': 'Gasolina', 'CodigoFipe': '008172-8', 'MesReferencia': 'janeiro de 2026', 'SiglaCombustivel': 'G'}
2026-01-30 08:50:41 | INFO | fipe | Gravado
2026-01-30 08:50:41 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '6143', 'name': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic'} -> {'code': '2013-1', 'name': '2013 Gasolina'}
2026-01-30 08:50:42 | INFO | fipe | Gravando json para 6 -> Audi -> {'code': '6143', 'name': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic'} -> {'code': '2013-1', 'name': '2013 Gasolina'} -> {'TipoVeiculo': 1, 'Valor': 'R$ 67.724,00', 'Marca': 'Audi', 'Modelo': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic', 'AnoModelo': 2013, 'Combustivel': 'Gasolina', 'CodigoFipe': '008172-8', 'MesReferencia': 'janeiro de 2026', 'SiglaCombustivel': 'G'}
2026-01-30 08:50:42 | INFO | fipe | Gravado
2026-01-30 08:50:43 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '6143', 'name': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic'} -> {'code': '2012-1', 'name': '2012 Gasolina'}
2026-01-30 08:50:43 | INFO | fipe | Gravando json para 6 -> Audi -> {'code': '6143', 'name': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic'} -> {'code': '2012-1', 'name': '2012 Gasolina'} -> {'TipoVeiculo': 1, 'Valor': 'R$ 61.496,00', 'Marca': 'Audi', 'Modelo': 'A1 Sport 1.4 TFSI 185cv 3p S-tronic', 'AnoModelo': 2012, 'Combustivel': 'Gasolina', 'CodigoFipe': '008172-8', 'MesReferencia': 'janeiro de 2026', 'SiglaCombustivel': 'G'}
2026-01-30 08:50:43 | INFO | fipe | Gravado
2026-01-30 08:50:44 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '7727', 'name': 'A1 Sport. S Edition 1.4 TFSI 5p S-tronic'}
2026-01-30 08:50:44 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '7727', 'name': 'A1 Sport. S Edition 1.4 TFSI 5p S-tronic'} -> {'code': '2017-1', 'name': '2017 Gasolina'}
2026-01-30 08:50:44 | INFO | fipe | Gravando json para 6 -> Audi -> {'code': '7727', 'name': 'A1 Sport. S Edition 1.4 TFSI 5p S-tronic'} -> {'code': '2017-1', 'name': '2017 Gasolina'} -> {'TipoVeiculo': 1, 'Valor': 'R$ 83.840,00', 'Marca': 'Audi', 'Modelo': 'A1 Sport. S Edition 1.4 TFSI 5p S-tronic', 'AnoModelo': 2017, 'Combustivel': 'Gasolina', 'CodigoFipe': '008210-4', 'MesReferencia': 'janeiro de 2026', 'SiglaCombustivel': 'G'}
2026-01-30 08:50:44 | INFO | fipe | Gravado
2026-01-30 08:50:45 | INFO | fipe | Extraindo 6 -> Audi -> {'code': '7727', 'name': 'A1 Sport. S Edition 1.4 TFSI 5p S-tronic'} -> {'code': '2016-1', 'name': '2016 Gasolina'}
